Model,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time
Logistic Regression,0.7965941343424787,0.6460176991150443,0.5195729537366548,0.5759368836291914,0.8380370180137213,4.633421897888184
SVM,0.7890255439924314,0.638095238095238,0.47686832740213525,0.5458248472505092,0.837922368565873,23.301114559173584
Random Forest,0.7947019867549668,0.6584158415841584,0.47330960854092524,0.5507246376811594,0.8281794584877278,4.753387689590454
Decision Tree,0.7975402081362346,0.6283524904214559,0.5836298932384342,0.6051660516605166,0.8234421433026378,0.5471558570861816
KNN,0.7587511825922422,0.5528455284552846,0.48398576512455516,0.5161290322580645,0.776215742744983,0.7702019214630127
