Model,MAE,MSE,RMSE,R2,Adj_R2,Training_Time
Random Forest,0.8975570406289046,1.5243332145386566,1.2346389004638791,0.9983163508500291,0.9982945481991662,13.23557996749878
Decision Tree,0.9554377432126135,1.861581060426802,1.3643976914473295,0.9979438554903246,0.9979172291585446,0.7416131496429443
Lasso,15.37844668332471,329.27302900225203,18.145881874470913,0.6363129464736128,0.6316033299531272,0.19493556022644043
ElasticNet,15.35184084213471,329.4966981515114,18.152043911127787,0.6360659005066067,0.6313530848297139,0.3289501667022705
Linear Regression,15.348048727678933,329.49813229695343,18.152083414775106,0.6360643164712191,0.6313514802816378,2.7818870544433594
Ridge,15.349481143505916,329.5206655824776,18.152704084584137,0.6360394281156699,0.6313262696308368,2.966899871826172
SVR,15.04132456157829,352.2280120700402,18.76773859765849,0.6109588195930451,0.6059208762496457,4.10861611366272
